distanciaNumero,distanciaDescripcion,banderaId,lat,lng,sucursalNombre,id,sucursalTipo,provincia,direccion,banderaDescripcion,localidad,comercioRazonSocial,comercioId,sucursalId
381.565,381.56 kilómetros,1,-34.6508,-58.5148,Emilio Castro,23-1-6287,Autoservicio,AR-C,Emilio Castro 6512,Axion Energy,Ciudad Autonoma de Buenos Aires,Pan American Energy LLC Argentina,23,6287
381.5669,381.57 kilómetros,1,-34.650879,-58.5153128,45 - MATADEROS,15-1-45,Autoservicio,AR-C,Cl Lisandro De La Torre 1151,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,45
381.573,381.57 kilómetros,1,-34.64520,-58.48484,OLIVERA,19-1-03048,Autoservicio,AR-C,Directorio 4311 Y Olivera 0,FULL,CAPITAL,Operadora de Estaciones de Servicios S.A.,19,03048
381.5763,381.58 kilómetros,1,-34.6476172,-58.4982344,744 - MATADEROS,15-1-744,Autoservicio,AR-C,Juan Bautista Alberdi 5287,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,744
381.5772,381.58 kilómetros,1,-34.628691,-58.38888,764 - CONSTITUCIÓN,15-1-764,Autoservicio,AR-C,Av. Brasil 1661 None,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,764
381.6167,381.62 kilómetros,1,-34.6298211,-58.3980513,266 - PARQUE PATRICIOS,15-1-266,Autoservicio,AR-C,Cl Matheu 1756,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,266
381.6196,381.62 kilómetros,3,-34.659390,-58.562079,Av. de Mayo 1832,10-3-475,Autoservicio,AR-B,Av. De Mayo 1832,Express,Ramos Mejía,INC S.A.,10,475
381.6311,381.63 kilómetros,3,-34.627247,-58.383000,Salta 1637-39,10-3-406,Autoservicio,AR-C,Salta 1637,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,406
381.6428,381.64 kilómetros,3,-34.629844,-58.399654,Inclan 2502,10-3-594,Autoservicio,AR-C,Inclan 2502,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,594
381.6563,381.66 kilómetros,1,-34.6255187,-58.3736292,SAN TELMO ,12-1-25,Supermercado,AR-C,Perú 1496,COTO CICSA,San Telmo,Coto Centro Integral de Comercialización S.A.,12,25
381.6588,381.66 kilómetros,1,-34.6263387,-58.3789187,352 - CONSTITUCIÓN,15-1-352,Autoservicio,AR-C,Av Bernardo De Irigoyen 1518,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,352
381.6597,381.66 kilómetros,2,-34.626929,-58.382657,Constitucion [Lima 1615],24-2-296,Supermercado,AR-C,Lima 1615,FARMACITY,Capital Federal,Farmacity S.A.,24,296
381.6789,381.68 kilómetros,1,-34.6251504,-58.3726168,293 - SAN TELMO,15-1-293,Autoservicio,AR-C,Cl Bolivar 1474,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,293
381.6797,381.68 kilómetros,3,-34.630648,-58.406589,Av. Chiclana 3002,10-3-796,Autoservicio,AR-C,Av. Chiclana 3002,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,796
381.6871,381.69 kilómetros,3,-34.639449,-58.458543,Varela 888,10-3-740,Autoservicio,AR-C,Av. Varela 888,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,740
