distanciaNumero,distanciaDescripcion,banderaId,lat,lng,sucursalNombre,id,sucursalTipo,provincia,direccion,banderaDescripcion,localidad,comercioRazonSocial,comercioId,sucursalId
808.4953,808.50 kilómetros,2,-24.78609,-65.42723,SAL BELGRANO [Av. Bel. Esq. Rep. de Siria],24-2-134,Autoservicio,AR-A,Av. Belgrano 1789,FARMACITY,Salta,Farmacity S.A.,24,134
808.6384,808.64 kilómetros,1,-24.7903,-65.4118,Salta V.,9-1-658,Supermercado,AR-A,Florida 50,Vea,SALTA,Jumbo Retail Argentina S.A.,9,658
808.6938,808.69 kilómetros,1,-24.789072,-65.413699,Salta,10-1-112,Hipermercado,AR-A,20 De Febrero 37,Hipermercado Carrefour,Salta,INC S.A.,10,112
808.7422,808.74 kilómetros,1,-24.7871267,-65.4177599,821 - JOAQUIN V GONZALEZ,15-1-821,Autoservicio,AR-A,Av Gral. Guemes 170,Supermercados DIA,SALTA,DIA Argentina S.A,15,821
808.9345,808.93 kilómetros,1,-24.787703,-65.411040,SAL - Salta - Av Belgrano ,2009-1-107,Supermercado,AR-A,Av. Belgrano Esq. Mitre None,CETROGAR,Salta,CETROGAR  S.A,2009,107
808.983,808.98 kilómetros,2,-33.335962,-60.222474,San Nicolás II,10-2-256,Supermercado,AR-B,Av. Moreno 10,Market,San Nicolás,INC S.A.,10,256
809.0971,809.10 kilómetros,1,-33.331816,-60.220188,San Nicolás,10-1-156,Hipermercado,AR-B,Bartolomé Mitre 264,Hipermercado Carrefour,San Nicolás,INC S.A.,10,156
809.1436,809.14 kilómetros,1,-24.79814367,-65.37696159,1804 - SALTA,15-1-1804,Autoservicio,AR-A,Av Ciudad De Asuncion S/N Entre Galvez Y Sirolli None,Supermercados DIA,SALTA,DIA Argentina S.A,15,1804
809.1517,809.15 kilómetros,1,-24.779652,-65.427437,Salta VII,10-1-175,Hipermercado,AR-A,Av. Entre Ríos 1816,Hipermercado Carrefour,Salta,INC S.A.,10,175
809.2063,809.21 kilómetros,1,-33.33323,-60.219354,BSAS-SAN NICOLAS-NACION-MU,2011-1-31,Supermercado,AR-B,Nacion Y Bolivar None,Musimundo,SAN NICOLAS,Electronica Megatone S.A,2011,31
809.28,809.28 kilómetros,1,-33.3346028,-60.2188972,280 - SAN NICOLAS,15-1-280,Autoservicio,AR-B,Cl Pellegrini 328,Supermercados DIA,BUENOS AIRES,DIA Argentina S.A,15,280
809.2885,809.29 kilómetros,1,-33.3320040,-60.2181510,San Nicolás,2005-1-49,Supermercado,AR-B,De La Nación 234,Naldo,"San Nicolas De Los Arroyos,Est.S.Nicolas",Naldo Lombardi SA,2005,49
809.2971,809.30 kilómetros,1,-24.7846,-65.4099,Mitre..,9-1-40,Supermercado,AR-A,Mitre 549 0,Vea,SALTA,Jumbo Retail Argentina S.A.,9,40
809.3316,809.33 kilómetros,1,-38.82481520164966,-68.13929164396541,Centenario 1,13-1-69,Supermercado,AR-Q,Honduras 1111,Cooperativa Obrera Limitada de Consumo y Vivienda,Centenario,Cooperativa Obrera Limitada de Consumo y Vivienda,13,69
